iter	MultiClass
0	1.899490164
1	1.858754315
2	1.827284985
3	1.795167501
4	1.776464809
5	1.754138762
6	1.733788001
7	1.7174582
8	1.700460193
9	1.682263254
10	1.672353012
11	1.660318811
12	1.651831229
13	1.63837568
14	1.631997314
15	1.622246201
16	1.613905727
17	1.603515376
18	1.597905943
19	1.591441079
20	1.58329091
21	1.575467971
22	1.568748011
23	1.562834232
24	1.559710692
25	1.551508098
26	1.547326963
27	1.540691968
28	1.535200472
29	1.531755293
30	1.52518387
31	1.521437718
32	1.518959044
33	1.51478866
34	1.511986724
35	1.507668567
36	1.5043364
37	1.502409233
38	1.498016585
39	1.491526301
40	1.487870667
41	1.484579664
42	1.481104222
43	1.47583283
44	1.472751868
45	1.470122115
46	1.467782737
47	1.465461253
48	1.461503105
49	1.45895208
50	1.455753583
51	1.451583955
52	1.449054068
53	1.445853588
54	1.443997507
55	1.441868258
56	1.439362071
57	1.437156428
58	1.43537222
59	1.433423893
60	1.430959812
61	1.428807792
62	1.42664608
63	1.424433909
64	1.422354961
65	1.421191811
66	1.419426579
67	1.417100077
68	1.414711118
69	1.412239944
70	1.409613716
71	1.407212656
72	1.404491283
73	1.401489166
74	1.39994131
75	1.397814988
76	1.395987225
77	1.395101999
78	1.392803632
79	1.391479559
80	1.389422395
81	1.388142958
82	1.386316899
83	1.385238981
84	1.384654923
85	1.382250358
86	1.380534177
87	1.378198213
88	1.376477079
89	1.374537796
90	1.372436753
91	1.370617938
92	1.369193689
93	1.366829357
94	1.364889116
95	1.363019626
96	1.360718917
97	1.358387076
98	1.355473821
99	1.353796152
100	1.35208064
101	1.350053419
102	1.347764479
103	1.346500704
104	1.344947005
105	1.342941451
106	1.340911768
107	1.338423863
108	1.33653343
109	1.334796799
110	1.332502827
111	1.330638814
112	1.328898639
113	1.327515274
114	1.324835021
115	1.32257583
116	1.321371401
117	1.319842281
118	1.317384714
119	1.31494495
120	1.312375286
121	1.310405037
122	1.308788369
123	1.307781624
124	1.305517448
125	1.304235517
126	1.302512485
127	1.301381481
128	1.299200156
129	1.297038134
130	1.295017367
131	1.29289274
132	1.29159237
133	1.289689867
134	1.287885729
135	1.286812263
136	1.285482313
137	1.283818805
138	1.282380427
139	1.281264671
140	1.279967136
141	1.278698944
142	1.277556122
143	1.276016485
144	1.273725408
145	1.272236184
146	1.271089442
147	1.269529224
148	1.268164709
149	1.267259256
150	1.265010242
151	1.264342634
152	1.262708901
153	1.261024869
154	1.260286015
155	1.259246909
156	1.257775112
157	1.256943138
158	1.255640167
159	1.254621731
160	1.253719746
161	1.25166255
162	1.250785935
163	1.249922009
164	1.247916664
165	1.246266705
166	1.244625926
167	1.243533534
168	1.242179092
169	1.241418071
170	1.240760151
171	1.239603357
172	1.238387691
173	1.237507221
174	1.23608811
175	1.23470617
176	1.233844792
177	1.232497456
178	1.231528041
179	1.230798641
180	1.22903593
181	1.228257653
182	1.227496646
183	1.227108635
184	1.226090842
185	1.224464563
186	1.223404594
187	1.222442223
188	1.221764344
189	1.220671932
190	1.219317953
191	1.217734106
192	1.217059721
193	1.216210596
194	1.215225165
195	1.214259294
196	1.212696239
197	1.211388249
198	1.210784217
199	1.209622518
200	1.208888384
201	1.208429697
202	1.207989159
203	1.207058456
204	1.206144839
205	1.205520003
206	1.20509579
207	1.204404187
208	1.203660351
209	1.202518701
210	1.202120179
211	1.20115567
212	1.199999205
213	1.199027124
214	1.197979047
215	1.197266477
216	1.196369347
217	1.19583274
218	1.195335497
219	1.194582072
220	1.194093582
221	1.193113998
222	1.19257645
223	1.191513514
224	1.1908489
225	1.190156891
226	1.189554529
227	1.188742441
228	1.188185955
229	1.187335298
230	1.186867087
231	1.186509539
232	1.185904894
233	1.185224949
234	1.184566471
235	1.183861641
236	1.183447364
237	1.182869304
238	1.182498494
239	1.18213362
240	1.181105757
241	1.180761926
242	1.1802552
243	1.180004288
244	1.179376279
245	1.178256345
246	1.177745337
247	1.17688054
248	1.176241485
249	1.175848087
250	1.175499287
251	1.17467801
252	1.173207226
253	1.172563145
254	1.172046955
255	1.171283761
256	1.170217332
257	1.169311143
258	1.168504277
259	1.168065227
260	1.167549244
261	1.166622751
262	1.166110765
263	1.165620703
264	1.165140627
265	1.16398673
266	1.163105329
267	1.162771491
268	1.162290642
269	1.161251199
270	1.160742495
271	1.160167713
272	1.159708092
273	1.159403788
274	1.159030519
275	1.158452871
276	1.157452248
277	1.156792437
278	1.156599456
279	1.156096127
280	1.155482013
281	1.155174977
282	1.154801257
283	1.154083858
284	1.153627615
285	1.152804099
286	1.152230764
287	1.151919321
288	1.15096224
289	1.150583001
290	1.150303933
291	1.149808374
292	1.149570224
293	1.149267432
294	1.148942363
295	1.148645933
296	1.147905138
297	1.147536463
298	1.14731295
299	1.146855047
300	1.146365796
301	1.145728532
302	1.145479375
303	1.145071524
304	1.144511123
305	1.143963259
306	1.143331076
307	1.142631836
308	1.142480363
309	1.142157216
310	1.14186139
311	1.141399115
312	1.140924715
313	1.140415608
314	1.140125573
315	1.139259004
316	1.138736568
317	1.13811656
318	1.137626667
319	1.136537552
320	1.135880984
321	1.13544999
322	1.135178732
323	1.134448728
324	1.134161102
325	1.133651028
326	1.132794497
327	1.132459907
328	1.13197312
329	1.130952226
330	1.130407532
331	1.130052987
332	1.129649528
333	1.129310639
334	1.129075024
335	1.128636452
336	1.128153123
337	1.127947771
338	1.127188204
339	1.126689802
340	1.126102171
341	1.125807297
342	1.125601118
343	1.124663792
344	1.124237826
345	1.123802882
346	1.123367909
347	1.12288625
348	1.122675707
349	1.122347073
350	1.122008978
351	1.121507446
352	1.120899869
353	1.120619024
354	1.11992673
355	1.119732748
356	1.119404974
357	1.118611118
358	1.117686909
359	1.117535409
360	1.116834695
361	1.116574961
362	1.115865136
363	1.1154661
364	1.115030861
