iter	Passed	Remaining
0	192	192133
1	256	127990
2	308	102469
3	364	90662
4	416	82970
5	470	77950
6	525	74532
7	612	75917
8	675	74428
9	746	73940
10	811	72939
11	870	71637
12	937	71155
13	999	70410
14	1079	70889
15	1145	70448
16	1216	70368
17	1282	69946
18	1349	69679
19	1431	70130
20	1489	69425
21	1541	68544
22	1593	67670
23	1644	66867
24	1694	66103
25	1747	65481
26	1812	65300
27	1871	64955
28	1928	64584
29	1983	64135
30	2038	63721
31	2091	63269
32	2144	62849
33	2200	62528
34	2256	62203
35	2308	61820
36	2360	61431
37	2417	61212
38	2472	60927
39	2527	60649
40	2581	60382
41	2638	60190
42	2694	59960
43	2746	59682
44	2801	59457
45	2853	59175
46	2905	58915
47	2959	58692
48	3011	58445
49	3063	58199
50	3115	57967
51	3168	57761
52	3220	57538
53	3272	57335
54	3323	57109
55	3383	57029
56	3444	56988
57	3504	56919
58	3559	56770
59	3614	56626
60	3669	56483
61	3726	56381
62	3785	56299
63	3840	56165
64	3897	56062
65	3953	55949
66	4008	55823
67	4064	55702
68	4130	55727
69	4191	55687
70	4247	55577
71	4303	55472
72	4360	55372
73	4416	55259
74	4470	55132
75	4522	54984
76	4575	54851
77	4627	54696
78	4678	54544
79	4729	54391
80	4781	54246
81	4833	54107
82	4887	53994
83	4940	53871
84	4996	53791
85	5055	53731
86	5109	53622
87	5163	53516
88	5216	53392
89	5269	53279
90	5323	53180
91	5379	53093
92	5435	53011
93	5490	52915
94	5545	52831
95	5599	52732
96	5653	52634
97	5706	52525
98	5759	52414
99	5812	52315
100	5863	52191
101	5914	52074
102	5965	51953
103	6016	51830
104	6067	51716
105	6121	51630
106	6185	51625
107	6246	51591
108	6298	51487
109	6354	51417
110	6406	51306
111	6458	51206
112	6510	51106
113	6565	51022
114	6617	50923
115	6669	50824
116	6723	50739
117	6775	50641
118	6827	50545
119	6879	50448
120	6930	50347
121	6983	50257
122	7035	50165
123	7086	50061
124	7137	49962
125	7188	49863
126	7240	49772
127	7296	49704
128	7350	49627
129	7405	49561
130	7459	49483
131	7511	49394
132	7566	49326
133	7621	49258
134	7673	49168
135	7727	49091
136	7779	49003
137	7831	48919
138	7885	48843
139	7937	48758
140	7989	48676
141	8042	48597
142	8093	48503
143	8146	48428
144	8199	48351
145	8266	48350
146	8358	48501
147	8454	48669
148	8509	48598
149	8562	48522
150	8619	48463
151	8671	48376
152	8724	48300
153	8778	48222
154	8831	48148
155	8884	48069
156	8938	47995
157	8994	47935
158	9053	47885
159	9111	47837
160	9165	47764
161	9220	47693
162	9275	47626
163	9330	47563
164	9387	47508
165	9443	47442
166	9502	47399
167	9559	47342
168	9617	47288
169	9673	47231
170	9728	47164
171	9783	47095
172	9838	47029
173	9891	46955
174	9944	46882
175	9999	46814
176	10054	46749
177	10110	46691
178	10164	46621
179	10219	46556
180	10274	46490
181	10329	46424
182	10382	46353
183	10437	46287
184	10495	46235
185	10554	46190
186	10615	46150
187	10672	46094
188	10727	46033
189	10782	45967
190	10840	45914
191	10897	45858
192	10951	45793
193	11005	45724
194	11058	45651
195	11111	45581
196	11166	45518
197	11224	45463
198	11307	45512
199	11372	45488
200	11426	45422
201	11496	45415
202	11552	45357
203	11605	45285
204	11658	45212
205	11718	45166
206	11777	45119
207	11834	45060
208	11892	45008
209	11952	44963
210	12010	44912
211	12064	44842
212	12119	44779
213	12172	44708
214	12232	44663
215	12291	44613
216	12375	44653
217	12430	44588
218	12487	44533
219	12553	44509
220	12608	44444
221	12663	44380
222	12721	44324
223	12777	44263
224	12833	44205
225	12888	44138
226	12943	44075
227	12999	44014
228	13060	43970
229	13115	43908
230	13168	43837
231	13220	43763
232	13276	43703
233	13334	43649
234	13387	43581
235	13442	43517
236	13496	43449
237	13550	43384
238	13605	43319
239	13658	43253
240	13713	43190
241	13770	43132
242	13826	43072
243	13883	43015
244	13939	42957
245	13996	42900
246	14056	42853
247	14118	42809
248	14174	42751
249	14231	42695
250	14285	42628
251	14339	42562
252	14394	42500
253	14446	42429
254	14498	42358
255	14552	42294
256	14617	42259
257	14677	42212
258	14735	42157
259	14791	42099
260	14847	42040
261	14903	41979
262	14958	41918
263	15011	41850
264	15063	41780
265	15116	41713
266	15169	41646
267	15222	41577
268	15274	41507
269	15331	41451
270	15384	41383
271	15436	41316
272	15489	41247
273	15543	41184
274	15603	41136
275	15659	41078
276	15715	41019
277	15770	40957
278	15823	40891
279	15876	40824
280	15929	40760
281	15982	40693
282	16035	40626
283	16087	40559
284	16142	40497
285	16195	40432
286	16252	40376
287	16309	40319
288	16364	40260
289	16417	40193
290	16481	40155
291	16534	40089
292	16587	40024
293	16645	39972
294	16698	39906
295	16752	39843
296	16805	39778
297	16885	39778
298	16975	39798
299	17037	39753
300	17123	39764
301	17178	39703
302	17231	39638
303	17283	39571
304	17338	39508
305	17393	39448
306	17446	39383
307	17514	39349
308	17568	39287
309	17624	39227
310	17678	39165
311	17733	39105
312	17787	39041
313	17844	38984
314	17898	38922
315	17955	38865
316	18008	38800
317	18061	38735
318	18113	38669
319	18167	38605
320	18218	38537
321	18272	38475
322	18332	38423
323	18386	38361
324	18442	38304
325	18505	38259
326	18562	38204
327	18619	38146
328	18675	38088
329	18742	38053
330	18814	38026
331	18870	37967
332	18929	37914
333	18985	37858
334	19045	37806
335	19107	37760
336	19164	37704
337	19219	37641
338	19272	37578
339	19325	37513
340	19378	37449
341	19430	37383
342	19483	37319
343	19536	37256
344	19606	37224
345	19659	37159
346	19711	37094
347	19775	37050
348	19832	36994
349	19887	36934
350	19980	36943
351	20046	36904
352	20100	36841
353	20152	36776
354	20210	36721
355	20264	36657
356	20317	36594
357	20368	36527
358	20434	36486
359	20485	36418
360	20536	36351
361	20588	36285
362	20648	36234
363	20707	36180
364	20777	36146
365	20829	36081
366	20881	36016
367	20932	35948
368	20983	35882
369	21034	35816
370	21086	35750
371	21137	35682
372	21188	35617
373	21241	35554
374	21293	35489
375	21347	35427
376	21399	35363
377	21453	35302
378	21508	35242
379	21561	35179
380	21613	35114
381	21676	35068
382	21730	35007
383	21784	34945
384	21837	34883
385	21890	34821
386	21944	34758
387	21997	34697
388	22051	34635
389	22103	34572
390	22169	34529
391	22222	34468
392	22275	34405
393	22331	34347
394	22394	34300
395	22477	34283
396	22542	34239
397	22601	34186
398	22659	34131
399	22712	34069
400	22767	34009
401	22819	33944
402	22870	33880
403	22922	33816
404	22987	33772
405	23040	33709
406	23091	33643
407	23143	33580
408	23200	33525
409	23254	33463
410	23312	33409
411	23383	33372
412	23436	33309
413	23487	33246
414	23538	33181
415	23590	33117
416	23643	33056
417	23697	32994
418	23752	32935
419	23805	32874
420	23858	32813
421	23912	32752
422	23966	32691
423	24018	32629
424	24071	32566
425	24125	32506
426	24182	32450
427	24237	32391
428	24291	32331
429	24344	32270
430	24395	32206
431	24448	32144
432	24499	32081
433	24552	32019
434	24608	31962
435	24669	31911
436	24730	31861
437	24783	31799
438	24839	31742
439	24900	31691
440	24954	31631
441	25007	31570
442	25062	31512
443	25120	31456
444	25174	31397
445	25228	31337
446	25283	31279
447	25337	31219
448	25390	31158
449	25453	31109
450	25508	31051
451	25563	30993
452	25617	30932
453	25670	30871
454	25723	30811
455	25776	30750
456	25839	30701
457	25894	30643
458	25948	30584
459	26005	30528
460	26063	30473
461	26118	30415
462	26174	30357
463	26228	30299
464	26285	30242
465	26341	30185
466	26401	30132
467	26458	30076
468	26514	30019
469	26569	29961
470	26627	29907
471	26683	29848
472	26739	29792
473	26804	29744
474	26882	29711
475	26964	29683
476	27048	29657
477	27140	29638
478	27224	29611
479	27283	29556
480	27348	29509
481	27417	29465
482	27481	29416
483	27551	29373
484	27616	29324
485	27690	29285
486	27751	29232
487	27816	29184
488	27891	29146
489	27960	29101
490	28027	29054
491	28085	28998
492	28144	28943
493	28205	28891
494	28291	28863
495	28346	28803
496	28401	28744
497	28456	28685
498	28511	28626
499	28566	28566
500	28622	28508
501	28677	28449
502	28733	28390
503	28788	28331
504	28843	28272
505	28902	28217
506	28959	28159
507	29014	28100
508	29072	28044
509	29126	27984
510	29179	27923
511	29233	27863
512	29288	27803
513	29343	27745
514	29399	27686
515	29453	27626
516	29506	27566
517	29560	27505
518	29613	27445
519	29667	27385
520	29724	27328
521	29780	27270
522	29835	27211
523	29895	27157
524	29949	27097
525	30003	27037
526	30057	26977
527	30110	26917
528	30164	26857
529	30218	26797
530	30272	26737
531	30327	26679
532	30383	26620
533	30437	26561
534	30492	26502
535	30546	26443
536	30601	26384
537	30655	26324
538	30710	26266
539	30764	26206
540	30818	26147
541	30874	26089
542	30928	26030
543	30982	25970
544	31040	25914
545	31147	25898
546	31217	25852
547	31271	25793
548	31326	25734
549	31382	25676
550	31438	25618
551	31491	25558
552	31544	25498
553	31596	25436
554	31650	25377
555	31703	25316
556	31755	25256
557	31808	25196
558	31861	25135
559	31915	25076
560	31970	25017
561	32023	24957
562	32078	24899
563	32131	24839
564	32186	24780
565	32239	24720
566	32293	24661
567	32345	24601
568	32400	24542
569	32453	24482
570	32506	24422
571	32560	24363
572	32612	24303
573	32665	24243
574	32719	24183
575	32772	24124
576	32825	24064
577	32879	24005
578	32964	23968
579	33020	23911
580	33077	23854
581	33138	23800
582	33197	23744
583	33253	23687
584	33309	23629
585	33365	23571
586	33433	23522
587	33496	23470
588	33555	23414
589	33608	23355
590	33665	23297
591	33719	23239
592	33775	23181
593	33834	23125
594	33914	23084
595	33984	23036
596	34036	22976
597	34091	22917
598	34145	22858
599	34198	22799
600	34252	22739
601	34306	22680
602	34359	22621
603	34428	22572
604	34511	22532
605	34576	22480
606	34631	22421
607	34685	22362
608	34739	22303
609	34791	22243
610	34845	22184
611	34901	22127
612	34955	22067
613	35009	22009
614	35062	21949
615	35118	21891
616	35182	21839
617	35247	21787
618	35310	21733
619	35377	21683
620	35444	21632
621	35513	21581
622	35581	21531
623	35641	21476
624	35699	21419
625	35766	21368
626	35836	21318
627	35898	21264
628	35959	21209
629	36016	21152
630	36072	21094
631	36128	21036
632	36183	20978
633	36237	20919
634	36293	20861
635	36348	20803
636	36402	20744
637	36457	20685
638	36511	20627
639	36565	20568
640	36619	20509
641	36673	20450
642	36728	20392
643	36781	20332
644	36836	20274
645	36890	20215
646	36963	20167
647	37036	20118
648	37094	20061
649	37154	20006
650	37217	19952
651	37285	19900
652	37343	19844
653	37400	19786
654	37456	19728
655	37512	19671
656	37571	19615
657	37628	19557
658	37686	19500
659	37742	19443
660	37798	19385
661	37854	19327
662	37913	19271
663	37975	19216
664	38065	19175
665	38130	19122
666	38188	19065
667	38244	19007
668	38299	18949
669	38356	18891
670	38415	18835
671	38476	18780
672	38533	18722
673	38591	18665
674	38647	18608
675	38704	18550
676	38764	18494
677	38824	18438
678	38889	18385
679	38952	18330
680	39012	18274
681	39074	18219
682	39154	18172
683	39211	18115
684	39270	18058
685	39329	18001
686	39388	17945
687	39447	17889
688	39506	17832
689	39565	17775
690	39623	17718
691	39680	17661
692	39737	17603
693	39793	17545
694	39850	17488
695	39908	17431
696	39966	17374
697	40023	17316
698	40078	17258
699	40134	17200
700	40189	17142
701	40245	17084
702	40310	17030
703	40386	16980
704	40451	16926
705	40517	16872
706	40658	16849
707	40736	16800
708	40794	16743
709	40891	16702
710	40964	16650
711	41028	16595
712	41087	16538
713	41147	16482
714	41207	16425
715	41269	16369
716	41339	16316
717	41424	16269
718	41488	16214
719	41546	16156
720	41603	16098
721	41661	16041
722	41718	15983
723	41776	15925
724	41837	15869
725	41894	15811
726	41955	15754
727	42014	15697
728	42077	15641
729	42138	15585
730	42195	15527
731	42250	15468
732	42311	15412
733	42366	15353
734	42423	15295
735	42484	15239
736	42628	15211
737	42776	15186
738	42925	15160
739	43073	15133
740	43219	15106
741	43364	15078
742	43504	15048
743	43564	14989
744	43624	14931
745	43685	14874
746	43746	14816
747	43804	14757
748	43860	14698
749	43918	14639
750	43975	14580
751	44031	14521
752	44087	14461
753	44144	14402
754	44199	14342
755	44261	14285
756	44319	14226
757	44376	14167
758	44430	14107
759	44486	14048
760	44543	13989
761	44601	13930
762	44658	13871
763	44715	13812
764	44773	13754
765	44830	13694
766	44886	13635
767	44943	13576
768	45002	13518
769	45058	13458
770	45114	13399
771	45179	13343
772	45238	13284
773	45333	13236
774	45415	13185
775	45490	13131
776	45611	13090
777	45721	13046
778	45813	12997
779	45911	12949
780	46009	12901
781	46118	12856
782	46205	12805
783	46292	12754
784	46378	12702
785	46460	12649
786	46534	12594
787	46613	12540
788	46674	12482
789	46731	12422
790	46810	12368
791	46921	12322
792	46987	12265
793	47048	12206
794	47104	12146
795	47159	12086
796	47214	12025
797	47269	11965
798	47324	11905
799	47379	11844
800	47434	11784
801	47490	11724
802	47562	11668
803	47623	11609
804	47681	11550
805	47740	11490
806	47796	11430
807	47852	11370
808	47907	11310
809	47961	11250
810	48017	11190
811	48072	11130
812	48127	11069
813	48189	11011
814	48251	10952
815	48312	10894
816	48369	10834
817	48424	10774
818	48482	10714
819	48538	10654
820	48604	10596
821	48664	10537
822	48724	10478
823	48782	10419
824	48841	10360
825	48898	10300
826	48964	10242
827	49024	10183
828	49083	10124
829	49139	10064
830	49200	10005
831	49260	9946
832	49322	9888
833	49381	9828
834	49438	9769
835	49493	9709
836	49549	9649
837	49606	9589
838	49662	9529
839	49717	9470
840	49781	9411
841	49841	9352
842	49904	9294
